gender,province,education,income_family,n
Female,Prince Edward Island,Above bachelor,"$25,000 to $49,999",2
Female,Prince Edward Island,Above bachelor,"$50,000 to $74,999",10
Female,Prince Edward Island,Above bachelor,"$75,000 to $99,999",7
Female,Prince Edward Island,Above bachelor,"Less than $25,000",1
Female,Prince Edward Island,Bachelor's degree,"$100,000 to $ 124,999",8
Female,Prince Edward Island,Bachelor's degree,"$125,000 and more",10
Female,Prince Edward Island,Bachelor's degree,"$25,000 to $49,999",5
Female,Prince Edward Island,Bachelor's degree,"$50,000 to $74,999",14
Female,Prince Edward Island,Bachelor's degree,"$75,000 to $99,999",13
Female,Prince Edward Island,Bachelor's degree,"Less than $25,000",6
Female,Prince Edward Island,Below bachelor,"$125,000 and more",2
Female,Prince Edward Island,Below bachelor,"$25,000 to $49,999",3
Female,Prince Edward Island,Below bachelor,"$50,000 to $74,999",5
Female,Prince Edward Island,Below bachelor,"$75,000 to $99,999",4
Female,Prince Edward Island,Below bachelor,"Less than $25,000",3
Female,Prince Edward Island,Below high school,"$100,000 to $ 124,999",2
Female,Prince Edward Island,Below high school,"$125,000 and more",6
Female,Prince Edward Island,Below high school,"$25,000 to $49,999",11
Female,Prince Edward Island,Below high school,"$50,000 to $74,999",10
Female,Prince Edward Island,Below high school,"$75,000 to $99,999",4
Female,Prince Edward Island,Below high school,"Less than $25,000",22
Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",4
Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$125,000 and more",14
Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",30
Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",18
Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",10
Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"Less than $25,000",23
Female,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",13
Female,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$125,000 and more",22
Female,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",38
Female,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",26
Female,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",29
Female,Prince Edward Island,"Technical, community college, CEGEP, College Classique","Less than $25,000",19
Female,Quebec,Above bachelor,"$100,000 to $ 124,999",18
Female,Quebec,Above bachelor,"$125,000 and more",41
Female,Quebec,Above bachelor,"$25,000 to $49,999",19
Female,Quebec,Above bachelor,"$50,000 to $74,999",27
Female,Quebec,Above bachelor,"$75,000 to $99,999",31
Female,Quebec,Above bachelor,"Less than $25,000",6
Female,Quebec,Bachelor's degree,"$100,000 to $ 124,999",33
Female,Quebec,Bachelor's degree,"$125,000 and more",97
Female,Quebec,Bachelor's degree,"$25,000 to $49,999",62
Female,Quebec,Bachelor's degree,"$50,000 to $74,999",69
Female,Quebec,Bachelor's degree,"$75,000 to $99,999",67
Female,Quebec,Bachelor's degree,"Less than $25,000",35
Female,Quebec,Below bachelor,"$100,000 to $ 124,999",12
Female,Quebec,Below bachelor,"$125,000 and more",14
Female,Quebec,Below bachelor,"$25,000 to $49,999",23
Female,Quebec,Below bachelor,"$50,000 to $74,999",18
Female,Quebec,Below bachelor,"$75,000 to $99,999",12
Female,Quebec,Below bachelor,"Less than $25,000",13
Female,Quebec,Below high school,"$100,000 to $ 124,999",19
Female,Quebec,Below high school,"$125,000 and more",20
